Nom;Nom (EN);D?finition;Nom de la Vue (logique);Nom de la Colonne (logique);Nom de la Vue (physique);Nom de la Colonne (physique)
Rôle du Tiers dans l'opération d'affacturage;Non renseigné;Permet d’identifier le rôle du tiers en risque «Client/Acheteur»;Contrats;Purchased Receivable Premium Party Role Cd;TEC_CONTRACT;PRCHD_RECVBL_PREM_PRTY_ROLE_CD
Type de ressource à date d'arrêté;Non renseigné;Permet d'identifier la nature de la ressource attachée au crédit (ressources monétaires, ressources propres, avances ÷). Cette information est nécessaire pour l'analyse du risque de taux.;Contrats;Resource Type Cd;TEC_CONTRACT;RSRC_TYPE_CD
Type de forex;Non renseigné;Non renseigné;Contrats;Forex Type Cd;TEC_CONTRACT;FOREX_TYPE_CD
Balancing Payment initiale en dev. de paiement - Jambe pay.;Non renseigné;Non renseigné;Contrats;Borrowing Leg Initial Balancing Payment Amt;TEC_CONTRACT;BORWG_LEG_INIT_BLNCG_PMT_AMT
Droits à prime à la capitalisation  en devise d'origine;Non renseigné;Montant des droits à prime à la capitalisation;Contrats;Capitalization Premium Eligible Amt;TEC_CONTRACT;CPTLZN_PREM_ELGBL_AMT
Identifiant du Tiers Bénéficiaire;Non renseigné;"Permet d'identifier de manière unique le tiers dans le système Zone de Partage
Notion technique a-significative et invariante dans le temps (d'un arrêté sur l'autre)";Contrats;Beneficiary Party Id;TEC_CONTRACT;BNFRY_PRTY_ID
Montant assiette interne risque variation;Non renseigné;Montant de l’assiette interne du risque de variation;Contrats;Fluctuation Risk Internal Base Amt;TEC_CONTRACT;FLUC_RISK_INTRNL_BASE_AMT
Entité rattachée au Tiers principal;Non renseigné;Entité rattachée au Tiers principal;Contrats;Principal Party Entity Id;TEC_CONTRACT;PRNCPAL_PRTY_ENT_ID
Groupe pays Tiers initial;Non renseigné;Groupe Pays se référant au Tiers initial;"Tranches ""OMP""";Original Counterparty Country Group Cd;TEC_IFRS9_TRANCHE;ORIGNL_CNTPTY_CTRY_GRP_CD
Destination de financement Bâle 2;Non renseigné;Cette rubrique pourrait permettre de dériver le « code marché » pour ventiler les encours de production nouvelle, et non natif dans les SI remettants. Cette notion est disponible dans l’application Arcade géré par les risques.;Contrats;Basel II Funds Use Cd;TEC_CONTRACT;BSL_II_FUNDS_USE_CD
Echelon qualité crédit;Non renseigné;Echelon de qualité de crédit;Tiers;Credit Quality Cd;TEC_PARTY;CR_QLTY_CD
Devise capital;Non renseigné;Devise du capital amorti;Echéanciers;Capital Currency Cd;TEC_SCHEDULE;CPTL_CURY_CD
Durée Deferral au cours du prêt;Non renseigné;"La durée du Deferral au cours du prêt doit être renseignée dès la mise en place du Deferral. La durée du Deferral est incluse dans la durée initiale du prêt.
Elle doit être renseignée dès la mise en place du Deferral.
Elle est exprimée en mois.";Contrats;Deferral Duration Num;TEC_CONTRACT;DFRL_DURTN_NUM
Montant CVA comptable;Non renseigné;Montant CVA comptable;Contrats;Credit Valuation Adjustment Amt;TEC_CONTRACT;CR_VALUT_ADJSTMT_AMT
Identifiant local du tiers en risque;Non renseigné;Non renseigné;Provisions;Local Party Id;TEC_DEPRECIATION;LOCL_PRTY_ID
Nature OPCVM garanti;Non renseigné;Permet de déterminer le CCF des protections données aux OPCVM en central;Contrats;Collateralized UCITS Nature Cd;TEC_CONTRACT;CLTRLZD_UCITS_NATR_CD
Type d'opération;Non renseigné;Permet d'identifier les opérations internes;Contrats;Intragroup Ind;TEC_CONTRACT;INTRAGRP_IND
Note interne pays Tiers garant;Non renseigné;Note interne pays se référant au Tiers garant;"Tranches ""OMP""";Guarantor Country Internal Grade Val;TEC_IFRS9_TRANCHE;GUARTR_CTRY_INTRNL_GRADE_VAL
Année;Non renseigné;Non renseigné;Arrêtés;Year Cd;TEC_STATEMENT_DATE;YR_CD
Valeur unitaire;Non renseigné;Valeur d'une unité du titre;Contrats;Security Unitary Amt;TEC_CONTRACT;SCURTY_UNITRY_AMT
Devise montant capital restant dû;Non renseigné;Devise d'expression du Montant du capital restant dû;"Tranches ""OMP""";Capital Outstanding Amt Currency Cd;TEC_IFRS9_TRANCHE;CPTL_OUTST_AMT_CURY_CD
Numéro PCI de l'encours (devise achetée) en IFRS;Non renseigné;Numéro de compte local (PCI) de l'encours (devise achetée) en IFRS;Contrats;Borrowing Leg Outstanding Amt COAI Cd;TEC_CONTRACT;BORWG_LEG_OUTST_AMT_COAI_CD
Devise seuil déclenchement appel marge;Non renseigné;Devise du seuil de déclenchement de l'appel de marge;Contrats;Margin Call Triggering Threshold Amt Currency Cd;TEC_CONTRACT;MRGN_CALL_TRIGRING_THRSH_AMT_CURY_CD
Montant Provision / décote;Non renseigné;"Montant de la provision spécifique de l’arrêté comptable en cours
- Si la dépréciation est une décote (cas de restructuration de créance), il s'agira du montant de cette décote
- Pour une provision, il s'agira de la meilleure estimation du montant de provision pour l'arrêté en cours";Provisions;Depreciation Amt;TEC_DEPRECIATION;DPRCTN_AMT
Bourse cotation titres sous-jacent;Non renseigné;Code du pays de la place boursière sur laquelle sont côtés les titres.;Contrats;Underlying Investment Product Stock Exchange Cd;TEC_CONTRACT;UNDRLY_INVSTMT_PROD_STK_EXCH_CD
Id Référence contrat collatéralisation;Non renseigné;Référence locale du contrat de collatéralisation.;Contrats;Risk Mitigant Agreement Local Id;TEC_CONTRACT;RISK_MTGNT_AGMT_LOCL_ID
Indicateur garantie explicite;Non renseigné;Indicateur permettant de préciser si la garantie est explicite ou non.;Garanties reçues;Explicit Guarantee Ind;TEC_RECEIVED_GUARANTEE;EXPLC_GUAR_IND
Montant IRA en contrevaleur (euro);Non renseigné;Montant Indemnité de Remboursement Anticipé;Contrats;Early Repayment Compensation Euro Amt;TEC_CONTRACT;EARLY_RPMT_CMPSTN_EURO_AMT
Montants des Créances Impayées en intérêts (euro);Non renseigné;Montants d'impayés en intérêts à date d'arrêté (Créances Impayées);Contrats;Unpaid Interest Euro Amt;TEC_CONTRACT;UNPD_INT_EURO_AMT
Devise montant loyers;Non renseigné;Devise d'expression du Montant des loyers;"Tranches ""OMP""";Agreement Asset Leasing Currency Cd;TEC_IFRS9_TRANCHE;AGMT_ASSET_LEASG_CURY_CD
Périodicité paiement intérêts;Non renseigné;Fréquence à laquelle les intérêts sont payés (/calculés);Paliers;Interest Payment Periodicity Cd;TEC_SCHEDULE_STAGE;INT_PMT_PERIODCITY_CD
Portefeuille Bale opération;Non renseigné;"Code opération dans le corpus Bâlois
Permet d'identifier le portefeuille de Bâle opération associé.";Autorisation;Basel Portfolio Cd;TEC_AUTORIZATION;BSL_PTFOL_CD
Type de couverture;Non renseigné;Permet de tracer les différentes types de couverture (Taux, Base, Fixing, Option, Liquidité);Contrats;Hedging Purpose Cd;TEC_CONTRACT;HEDGING_PRPS_CD
Type de marché;Non renseigné;"Permet d'identifier la clientèle du contrat
Valeurs possibles : Retail (R), Corporate (C)";Autorisation;Market Type Cd;TEC_AUTORIZATION;MKT_TYPE_CD
Méthodologie Bâloise;Non renseigné;Correspond à la méthode de calcul des risques pondérés dans Bâle.;Lignes d'autorisation;Basel II Approach Type Cd;TEC_AUTORIZATION_LINE;BSL_II_APRCH_TYPE_CD
Devise Montant coupons courus non échus - Jambe empr.;Non renseigné;Devise d'expression montant des coupons courus non échus de la jambe emprunteuse.;Contrats;Borrowing Leg Non Expired Coupon Amt Currency Cd;TEC_CONTRACT;BORWG_LEG_NON_EXPRD_COUPN_AMT_CURY_CD
Indicateur granularité;Non renseigné;Indicateur de granularité;Contrats;Granularity Ind;TEC_CONTRACT;GRNLT_IND
Code ISIN titres - Jambe empr.;Non renseigné;Code ISIN des titres;Contrats;Borrowing Leg Investment Product ISIN Cd;TEC_CONTRACT;BORWG_LEG_INVSTMT_PROD_ISIN_CD
Date d’activation de l’option 2;Non renseigné;Date d'activation de l'option 2;Contrats;Option 2 Activation Dt;TEC_CONTRACT;OPTN_2_ACTVTN_DT
Valeur critère 1 sélection locale portefeuille;Non renseigné;Zone OMP permettant de véhiculer le critère 1 local de sélection des portefeuilles à stresser;Contrats;OMP Local Criterion 1 Val;TEC_CONTRACT;OMP_LOCL_CRITRN_1_VAL
Source;Non renseigné;Code du système opérationnel de gestion ou système remettant de l'objet métier;Lignes d'autorisation;Source Cd;TEC_AUTORIZATION_LINE;SRC_CD
Indicateur protocole ISDA de niveau entité;Non renseigné;Pour les dérivés (hors repos), indicateur de présence d'un protocole de niveau entité permettant de faciliter la signature numérique du CSA (Credit Support Annex);Contrats;Entity ISDA Protocol Ind;TEC_CONTRACT;ENT_ISDA_PTCOL_IND
Périodicité révalorisation sûreté;Non renseigné;Périodicité de la revalorisation de la sûreté financière pour contrôle de la clause d'arrosage.;Garanties reçues;Increment Clause Reassessment Periodicity Cd;TEC_RECEIVED_GUARANTEE;INCRMT_CLAUS_REASESMT_PERIODCITY_CD
Date d'ouverture de la procédure judiciaire;Non renseigné;Permet d'identifier si une procédure judiciaire est en cours;Tiers;Judicial Status Start Date;TEC_PARTY;JUDICIAL_STS_STRT_DT
Pays location actif;Non renseigné;"Localisation (pays) de l’actif
";Contrats;Location Country Cd;TEC_CONTRACT;LOC_CTRY_CD
Entité rattachée au Tiers couvert;Non renseigné;Entité rattachée au Tiers couvert;Contrats;Covered Third Party Entity Id;TEC_CONTRACT;CVRD_THIRD_PRTY_ENT_ID
Code partenaire tranche niveau 2;Non renseigné;Code Partenaire de la tranche de niveau 2;"Tranches ""OMP""";Partner Level 2 Cd;TEC_IFRS9_TRANCHE;PRTNR_LVL_2_CD
Zone réservé CASA;Non renseigné;"Obligatoire si entité porteuse de risques (C1 0.2) = '00018'
Zone exploitée uniquement par les entités déclarant les risques portés par Crédit Agricole S.A.
Numéro du Centre de Responsabilité comptable (CRC) sur 2 caractères. Décomposition comptable du Siège en Activités (comptabilités auxiliaires). Permet de gérer les opérations pour compte propre CAsa. 
La valeur doit être connue du langage commun LC.72 'Liste des numéros de CRC'.";Contrats;Accounting Responsability Center Cd;TEC_CONTRACT;ACCNTG_RESPONSABL_CTR_CD
Montant capital amorti à l'échéance (euro);Non renseigné;Non renseigné;Echéanciers;Schedule Amortized Capital Euro Amt;TEC_SCHEDULE;SCHD_AMRTZD_CPTL_EURO_AMT
Devise solde compte;Non renseigné;Devise d'expression du solde compte;"Tranches ""OMP""";Ending Ledger Balance Amt Currency Cd;TEC_IFRS9_TRANCHE;ENDG_LEDGR_BAL_AMT_CURY_CD
Code traitement moteur;Non renseigné;Correspond au traitement moteur de calcul des RWA Bâlois.;Contrats;RWA Engine Cd;TEC_CONTRACT;RWA_ENGN_CD
Valeur critère 2 sélection locale portefeuille;Non renseigné;Zone OMP permettant de véhiculer le critère 2 local de sélection des portefeuilles à stresser;Contrats;OMP Local Criterion 2 Val;TEC_CONTRACT;OMP_LOCL_CRITRN_2_VAL
Montant MtM brut (euro);Non renseigné;Non renseigné;Contrats;Gross Mark To Market Euro Amt;TEC_CONTRACT;GRS_MK_TO_MKT_EURO_AMT
Montant capital théorique restant dû;Non renseigné;Correspond au CRD théorique sur les prêts (ne prend pas en compte les arriérés de paiement);Contrats;Theoretical Capital Outstanding Amt;TEC_CONTRACT;THRTCL_CPTL_OUTST_AMT
Marge du taux reçu;Non renseigné;"Exprimée en pourcentage.
Marge du taux reçu sur l'opération de dérivé";Contrats;Received Rate Margin Rate;TEC_CONTRACT;RECVD_RATE_MRGN_RATE
Sous-type contrat exposition;Non renseigné;"Permet d'identifier le sous-type du contrat d'exposition
S'il y a lieu, à chaque sous-type correspond une table fille ans le modèle de données de la Zone de Partage
Ex : Investissement (I), Crédit (C)";Autorisation;Exposure Subtype Cd;TEC_AUTORIZATION;EXPSR_SBTYPE_CD
Devise montant actif net comptable fond;Non renseigné;Devise du montant actif net comptable du fond;Contrats;Funds Net Accounting Asset Amt Currency Cd;TEC_CONTRACT;FUNDS_NET_ACCNTG_ASSET_AMT_CURY_CD
Quantité à recevoir;Non renseigné;Quantité à recevoir;Contrats;Buy Notional Qty;TEC_CONTRACT;BUY_NOTL_QTY
Nominal de la patte titres;Non renseigné;Non renseigné;Contrats;Security Leg Amt;TEC_CONTRACT;SCURTY_LEG_AMT
Indicateur location gérance;Non renseigné;Pour nantissement de fonds de commerce, permet de déterminer si le fond est en location gérance ou non.;Garanties reçues;Lease Management Ind;TEC_RECEIVED_GUARANTEE;LEAS_MGMT_IND
Devise frais de transaction;Non renseigné;Devise dans laquelle le contrat a été signé/Code devise des frais de transaction;Contrats;Transaction Fees Amt Currency Cd;TEC_CONTRACT;TSACTN_FEES_AMT_CURY_CD
Droits à prime à la capitalisation (euro);Non renseigné;Montant des droits à prime à la capitalisation;Contrats;Capitalization Premium Eligible Euro Amt;TEC_CONTRACT;CPTLZN_PREM_ELGBL_EURO_AMT
Type taux payé;Non renseigné;Type du taux payé;Contrats;Paid Rate Type Cd;TEC_CONTRACT;PD_RATE_TYPE_CD
Valeur unitaire (euro);Non renseigné;Valeur d'une unité du Security;Contrats;Security Unitary Euro Amt;TEC_CONTRACT;SCURTY_UNITRY_EURO_AMT
Indicateur collatéral reçu;Non renseigné;Indicateur collatéral reçu;Contrats;Received Collateral Ind;TEC_CONTRACT;RECVD_CLTRL_IND
Durée réelle de la période d’anticipation;Non renseigné;Durée réelle, en mois, mise à jour à la fin de la période d’'anticipation;Contrats;Grace Period Actual Duration Num;TEC_CONTRACT;GRC_PRD_ACTL_DURTN_NUM
Devise montant notionnel jambe achetée;Non renseigné;Devise du montant du notionnel de la jambe payée;Contrats;Buy Leg Nominal Amt Currency Cd;TEC_CONTRACT;BUY_LEG_NMNL_AMT_CURY_CD
LGD;Non renseigné;Taux de perte en cas de défaut;Contrats;Loss Given Default Rate;TEC_CONTRACT;LOSS_GVN_DFLT_RATE
Date initale échéance contrat;Non renseigné;"Date contractuelle d'échéance du contrat
Il peut s'agir, par exemple, de la date limite de remboursement des tirages réalisés ou de la date de fin d'effet de la sûreté";Garanties reçues;Maturity Dt;TEC_RECEIVED_GUARANTEE;MATURTY_DT
Méthodologie Bâloise;Non renseigné;Correspond à la méthode de calcul des risques pondérés dans Bâle.;Contrats;Basel II Approach Type Cd;TEC_CONTRACT;BSL_II_APRCH_TYPE_CD
Montant Solde compte courant d'associé (euro);Non renseigné;Signe du montant, partie entière, Partie décimale;Contrats;Related Current Account Balance Euro Amt;TEC_CONTRACT;RLTD_CUR_ACCT_BAL_EURO_AMT
Date d'arrêté;Non renseigné;Non renseigné;Garanties reçues;Statement Dt;TEC_RECEIVED_GUARANTEE;STTM_DT
Méthodologie notation;Non renseigné;Code de la méthodologie utilisée pour la notation d'une contrepartie.;Tiers;Rating Method Cd;TEC_PARTY;RTG_METH_CD
Date entrée créance période probatoire;Non renseigné;Date d’entrée de la créance FORBORN en  «probatoire»;Contrats;Probationary Period Start Dt;TEC_CONTRACT;PRBTARY_PRD_STRT_DT
Code inclusion Niveau 2;Non renseigné;Non renseigné;Entités et pôles;Included Level 2 Cd;TEC_ENTITY;INCLD_LVL_2_CD
Devise assiette interne du risque de variation;Non renseigné;Devise de l’assiette interne du risque de variation;Contrats;Fluctuation Risk Internal Base Amt Currency Cd;TEC_CONTRACT;FLUC_RISK_INTRNL_BASE_AMT_CURY_CD
Catégorie socioprofessionnelle;Non renseigné;Catégorie socioprofessionnelle;Contrats;Initial Occupation Type Cd;TEC_CONTRACT;INIT_OCPTN_TYPE_CD
Flag prise en compte de gar. personnelle niv. 2 (corrigé);Non renseigné;Non renseigné;"Tranches ""OMP""";Third Party Garantee Level 2 Corrected Consideration Ind;TEC_IFRS9_TRANCHE;THIRD_PRTY_GARANTEE_LVL_2_CRCTD_CNSDRTN_IND
Entité rattachée au Tiers Pilote;Non renseigné;Entité rattachée au Tiers Pilote;Autorisation;Pilot Party Entity Id;TEC_AUTORIZATION;PILOT_PRTY_ENT_ID
Source;Non renseigné;Code du système opérationnel de gestion ou système remettant de l'objet métier;Autorisation;Source Cd;TEC_AUTORIZATION;SRC_CD
Prochaine date de paiement/capitalisation des intérêts;Non renseigné;Date à laquelle le prochain paiement ou la prochaine capitalisation d'intérêts aura lieu;Contrats;Interest Capitalization Next Dt;TEC_CONTRACT;INT_CPTLZN_NXT_DT
Type de marché;Non renseigné;"Permet d'identifier la clientèle du contrat
Valeurs possibles : Retail (R), Corporate (C)";Lignes d'autorisation;Market Type Cd;TEC_AUTORIZATION_LINE;MKT_TYPE_CD
Expected Loss Best Estimate (en %);Non renseigné;"Exprimée en pourcentage.
A renseigner uniquement pour l'affacturage en IRB A";Contrats;Expected Loss Best Estimate Rate;TEC_CONTRACT;EXPCTD_LOSS_BEST_EST_RATE
Identifiant LEI;Non renseigné;"Identifiant, autre que l'Identifiant tiers, permettant de reconnaître le tiers 
Il peut s'agir d'identifiants internes ou externes";Tiers;LEI Id;TEC_PARTY;LEI_ID
Indicateur PNU de la tranche;Non renseigné;Indicateur PNU de la tranche;"Tranches ""OMP""";Undraw Ind;TEC_IFRS9_TRANCHE;UNDRW_IND
Date initale échéance contrat;Non renseigné;"Date contractuelle d'échéance du contrat
Il peut s'agir, par exemple, de la date limite de remboursement des tirages réalisés ou de la date de fin d'effet de la sûreté";Lignes d'autorisation;Maturity Dt;TEC_AUTORIZATION_LINE;MATURTY_DT
Montant Intérêts restant dûs en arriéré (euro);Non renseigné;Montant des intérêts restant dûs en arriéré de paiement en contrevaleur euro;Contrats;Unpaid Drawn Interest Outstanding Euro Amt;TEC_CONTRACT;UNPD_DRWN_INT_OUTST_EURO_AMT
Balancing Payment de dénouement - Jambe rec. (euro);Non renseigné;"Montant contrevalorisé Euro de la Balancing Payment de dénouement perçue ou versée dans le mois :
     - Les encaissements seront signés ""+""
     - Les décaissements seront signés ""-""
Elle n'inclut pas les coupons courus, renseignés dans le champ ICNE";Contrats;Lending Leg Unwinding Initial Balancing Payment Euro Amt;TEC_CONTRACT;LENDG_LEG_UNWINDING_INIT_BLNCG_PMT_EURO_AMT
Nature chiffre affaires;Non renseigné;Nature du chiffre d’affaires;Tiers;Turnover Nature Cd;TEC_PARTY;TRNVR_NATR_CD
Devise montant revisé du contrat;Non renseigné;Non renseigné;Autorisation;Agreement Revised Amt Currency Cd;TEC_AUTORIZATION;AGMT_RVSD_AMT_CURY_CD
PCCO nominal;Non renseigné;Numéro du poste comptable (PCCO) du nominal;Contrats;Notional Amt COA Cd;TEC_CONTRACT;NOTL_AMT_COA_CD
Méthode ifrs9 - LGD;Non renseigné;Clé d'appariemment avec les courbes de LGD du référentiel ifrs9;Contrats;LGD IFRS9 Methodology Cd;TEC_CONTRACT;LGD_IFRS9_METHDGY_CD
Devise montant du réaménagement sur le mois;Non renseigné;Code devise du montant du réaménagement sur le mois;Contrats;Month Modification Amt Currency Cd;TEC_CONTRACT;MTH_MODFN_AMT_CURY_CD
Taux plafond;Non renseigné;Taux plafond;Contrats;Cap Rate;TEC_CONTRACT;CAP_RATE
Secteur risque systemique;Non renseigné;Code du secteur d'activité relevant du risque systémique pour le tiers;Tiers;Systemic Risk Sector Cd;TEC_PARTY;SYSIC_RISK_SECTR_CD
Type Identification valeurs mobilières - Jambe prêt.;Non renseigné;Non renseigné;Contrats;Lending Leg Security Identification Type Cd;TEC_CONTRACT;LENDG_LEG_SCURTY_IDNTFTN_TYPE_CD
Périodicité amortissement capital;Non renseigné;Fréquence à laquelle le capital est remboursé;Contrats;Capital Amortization Periodicity Cd;TEC_CONTRACT;CPTL_AMRTZN_PERIODCITY_CD
Montant ajustement valeur;Non renseigné;Montant ajustement de valeur;Contrats;Valuation Adjustment Amt;TEC_CONTRACT;VALUT_ADJSTMT_AMT
Quantité contrepartie;Non renseigné;Nombre de contreparties constituant l’engagement agrégé;Contrats;Counterparty Qty;TEC_CONTRACT;CNTPTY_QTY
Devise prix exercice;Non renseigné;Devise du prix d'exercice de l'option(LC.0005);Contrats;Exercise Price Amt Currency Cd;TEC_CONTRACT;EXRCS_PRC_AMT_CURY_CD
Montant  MTM de la part non libérée (euro);Non renseigné;montant du MTM Pied de coupon;Contrats;Unpaid Portion MtM Euro Amt;TEC_CONTRACT;UNPD_PORTN_MTM_EURO_AMT
Indice de référence;Non renseigné;Indice de référence;Paliers;Reference Index Cd;TEC_SCHEDULE_STAGE;REF_INDX_CD
Date de début de l'état de performance de la créance;Non renseigné;Date de début de l'état de performance de la créance;Contrats;Debt Efficiency Status Start Dt;TEC_CONTRACT;DEBT_EFCNCY_STS_STRT_DT
Montant intérêts courus non échus (euro);Non renseigné;Montant des intérêts courus non échus en Euro;"Tranches ""OMP""";Accrued Interest Not Due Euro Amt;TEC_IFRS9_TRANCHE;ACRUD_INT_NOT_DUE_EURO_AMT
Code inclusion Niveau 3;Non renseigné;Non renseigné;Entités et pôles;Included Level 3 Cd;TEC_ENTITY;INCLD_LVL_3_CD
Identifiant local du Tiers Pilote;Non renseigné;Non renseigné;Autorisation;Pilot Party Local Id;TEC_AUTORIZATION;PILOT_PRTY_LOCL_ID
Indicateur historique impayés;Non renseigné;Indicateur portant sur les impayés passés;Contrats;Drawn Amt History Ind;TEC_CONTRACT;DRWN_AMT_HIST_IND
Indicateur back to back;Non renseigné;Indicateur permettant de lier l'élément couvert et l'élément couvrant (positions identiques qui se compensent).;Contrats;Back To Back Ind;TEC_CONTRACT;BCK_TO_BCK_IND
Montant encours douteux compromis;Non renseigné;Montant de l'encour en douteux compromis;Contrats;Doubtful Debt Part Amt;TEC_CONTRACT;DBTFL_DEBT_PRT_AMT
Devise montant dépréciation;Non renseigné;Devise associée au Montant Dépéréciation;Provisions;Depreciation Amt Currency Cd;TEC_DEPRECIATION;DPRCTN_AMT_CURY_CD
Date dernier fixing - Jambe prêt.;Non renseigné;Non renseigné;Contrats;Lending Leg Fixing Last Dt;TEC_CONTRACT;LENDG_LEG_FIXG_LAST_DT
Lieu dépôt sûrete réelle;Non renseigné;"Pour les gages espèces et les titres
Le lieu du dépôt de la sûreté réelle détermine l'appartenance du dépositaire du gage-espèce ou du titre au groupe CA. (LC.0053)";Garanties reçues;Deposit Place Cd;TEC_RECEIVED_GUARANTEE;DEP_PLACE_CD
Indicateur utilisation coût acquisition;Non renseigné;Flag utilisation du cout d'acquisition;"Tranches ""OMP""";Acquisition Cost Use Ind;TEC_IFRS9_TRANCHE;ACQ_COST_USE_IND
Identifiant du groupe;Non renseigné;Non renseigné;Entités et pôles;Group Id;TEC_ENTITY;GRP_ID
Montant Intérêts payés ou capitalisés;Non renseigné;Montant des intérêts payés ou capitalisés dans le mois en devise de paiement;Contrats;Paid Interest Amt;TEC_CONTRACT;PD_INT_AMT
Découvert autorisé (euro);Non renseigné;Montant de l’autorisation de découvert;Contrats;Authorized Overdraft Balance Euro Amt;TEC_CONTRACT;AUTHZD_OVRDRFT_BAL_EURO_AMT
Identifiant local du tiers bénéficiaire;Non renseigné;Non renseigné;Lignes d'autorisation;Beneficiary Party Local Id;TEC_AUTORIZATION_LINE;BNFRY_PRTY_LOCL_ID
Centre de Responsabilité Comptable;Non renseigné;"Obligatoire si entité porteuse de risques (C1 0.2) = '00018'
Zone exploitée uniquement par les entités déclarant les risques portés par Crédit Agricole S.A.
Numéro du Centre de Responsabilité comptable (CRC) sur 2 caractères. Décomposition comptable du Siège en Activités (comptabilités auxiliaires). Permet de gérer les opérations pour compte propre CAsa. 
La valeur doit être connue du langage commun LC.72 'Liste des numéros de CRC'.";Autorisation;Accounting Responsability Center Cd;TEC_AUTORIZATION;ACCNTG_RESPONSABL_CTR_CD
Indicateur notation RUN;Non renseigné;Indicateur permettant de savoir si la notation a été fournie par le RUN du tiers;Tiers;RUN Rating Ind;TEC_PARTY;RUN_RTG_IND
Portefeuille bale opération;Non renseigné;"Code opération dans le corpus Bâlois
Permet d'identifier le portefeuille de Bâle opération associé.";Contrats;Basel Portfolio Cd;TEC_CONTRACT;BSL_PTFOL_CD
Année chiffre affaires;Non renseigné;Année de l'exercice pour lequel le CA est fourni.;Tiers;Turnover Year Num;TEC_PARTY;TRNVR_YR_NUM
Code catégorie contrepartie;Non renseigné;Code de la catégorie de contrepartie du tiers. La catégorie de contrepartie est une segmentation détaillée des tiers utilisée pour déterminer les catégories d'exposition réglementaires;Tiers;Counterparty Category Cd;TEC_PARTY;CNTPTY_CTGY_CD
Montant EAD (euro);Non renseigné;Non renseigné;Contrats;Exposure At Default Euro Amt;TEC_CONTRACT;EXPSR_AT_DFLT_EURO_AMT
Nombre d'échéances;Non renseigné;Indique le nombre d'échéanciers;Contrats;Schedule Nb;TEC_CONTRACT;SCHD_NB
Granularité contrat;Non renseigné;"Permet de qualifier le niveau de granularité du contrat
Valeurs possibles : contrat granulaire (G), contrat agrégat (A)";Contrats;Agreement Granularity Cd;TEC_CONTRACT;AGMT_GRNLT_CD
Catégorie de l'émetteur;Non renseigné;Il s'agit d'une catégorisation des émetteurs de titre;Contrats;Issuer Category Cd;TEC_CONTRACT;ISSUR_CTGY_CD
Taux plancher;Non renseigné;Taux plancher;Paliers;Floor Rate;TEC_SCHEDULE_STAGE;FLOOR_RATE
Devise Montant Coupons  courus non échus - Jambe ach.;Non renseigné;Devise d'expression montant des coupons  courus non échus de la jambe achetée.;Contrats;Buy Leg Non Expired Coupon Amt Currency Cd;TEC_CONTRACT;BUY_LEG_NON_EXPRD_COUPN_AMT_CURY_CD
Identifiant local contrat;Non renseigné;Identifiant technique local du contrat;Contrats;Host Contract Id;TEC_CONTRACT;HOST_CNTRCT_ID
Code PCCO valeur titre IFRS;Non renseigné;Numéro du poste comptable (PCCO) de la Valeur du titre en norme IFRS;Contrats;IFRS Investment Value COA Cd;TEC_CONTRACT;IFRS_INVSTMT_VAL_COA_CD
Référence externe du contrat;Non renseigné;Identifiant unique du contrat dans le SI de gestion local de l’entité gérant le contrat dans les cas de sous-traitance et dont le flux est fourni par l'entité déclarante;Contrats;External Agreement Id;TEC_CONTRACT;EXTR_AGMT_ID
Montant actif net comptable du fond (euro);Non renseigné;Non renseigné;Contrats;Funds Net Accounting Asset Euro Amt;TEC_CONTRACT;FUNDS_NET_ACCNTG_ASSET_EURO_AMT
Entité;Non renseigné;"Identifiant national de l’entité déclarante
Correspond au code consolidation comptable (sur 5 caractères)";"Tranches ""OMP""";Entity Id;TEC_IFRS9_TRANCHE;ENT_ID
Période liquidation 20j;Non renseigné;Période de liquidation minimale fixée à 20 jours  (CRD4);Garanties reçues;Liquidation Period 20d Cd;TEC_RECEIVED_GUARANTEE;LQDTN_PRD_20D_CD
Identifiant contrat;Non renseigné;"Permet d'identifier de manière unique le contrat dans le système Zone de Partage
Notion technique a-significative et invariante dans le temps (d'un arrêté sur l'autre)";Paliers;Contract Id;TEC_SCHEDULE_STAGE;CNTRCT_ID
Code Modalité paiement intérêts - Jambe empr.;Non renseigné;Non renseigné;Contrats;Borrowing Leg Interest Payment Modality Cd;TEC_CONTRACT;BORWG_LEG_INT_PMT_MODALITY_CD
Prochaine date Paiement/capitalisation Intérêts - Jambe prêt.;Non renseigné;Non renseigné;Contrats;Lending Leg Interest Capitalization Next Dt;TEC_CONTRACT;LENDG_LEG_INT_CPTLZN_NXT_DT
Identifiant local lettre fusion;Non renseigné;Référence locale de la lettre de Fusion.;Contrats;Merging Agreement Letter Id;TEC_CONTRACT;MRGG_AGMT_LTR_ID
Evénement déclencheur de la garantie;Non renseigné;Evénement susceptible de déclencher la mise en jeu de la garantie (ex défaut, solvabilité...).;Garanties reçues;Guarantee Received Trigger Event Cd;TEC_RECEIVED_GUARANTEE;GUAR_RECVD_TRIGR_EV_CD
Tiers Emetteur - Jambe emprunteuse;Non renseigné;"Permet d'identifier de manière unique le tiers dans le système Zone de Partage
Notion technique a-significative et invariante dans le temps (d'un arrêté sur l'autre)";Contrats;Lending Leg Issuer Party Id;TEC_CONTRACT;LENDG_LEG_ISSUR_PRTY_ID
